vacancy,salary,href_link,city,worker,date
На удаленную работу в Тинькофф Банк требуется оператор call-центра,35 000₽,https://www.farpost.ru/amursk/rabota/vacansii/na-udalennuju-rabotu-v-tinkoff-bank-trebuetsja-operator-call-centra-113592297.html?source=extended-feed,в Амурске,"ООО ""ЭЙЧ АР ПРОФИ""",04.10.2023
На удаленную работу в Тинькофф Банк требуется оператор call-центра,35 000₽,https://www.farpost.ru/spassk-dalnii/rabota/vacansii/na-udalennuju-rabotu-v-tinkoff-bank-trebuetsja-operator-call-centra-113592258.html?source=extended-feed,в Спасске-Дальнем,"ООО ""ЭЙЧ АР ПРОФИ""",04.10.2023
На удаленную работу в Тинькофф Банк требуется оператор call-центра,35 000₽,https://www.farpost.ru/bikin/rabota/vacansii/na-udalennuju-rabotu-v-tinkoff-bank-trebuetsja-operator-call-centra-113592264.html?source=extended-feed,в Бикине,"ООО ""ЭЙЧ АР ПРОФИ""",04.10.2023
На удаленную работу в Тинькофф Банк требуется оператор call-центра,35 000₽,https://www.farpost.ru/dalnegorsk/rabota/vacansii/na-udalennuju-rabotu-v-tinkoff-bank-trebuetsja-operator-call-centra-113592277.html?source=extended-feed,в Дальнегорске,"ООО ""ЭЙЧ АР ПРОФИ""",04.10.2023
На удаленную работу в Тинькофф Банк требуется оператор call-центра,35 000₽,https://www.farpost.ru/arsenev/rabota/vacansii/na-udalennuju-rabotu-v-tinkoff-bank-trebuetsja-operator-call-centra-113592282.html?source=extended-feed,в Арсеньеве,"ООО ""ЭЙЧ АР ПРОФИ""",04.10.2023
На удаленную работу в Тинькофф Банк требуется оператор call-центра,35 000₽,https://www.farpost.ru/dalnerechensk/rabota/vacansii/na-udalennuju-rabotu-v-tinkoff-bank-trebuetsja-operator-call-centra-113592243.html?source=extended-feed,в Дальнереченске,"ООО ""ЭЙЧ АР ПРОФИ""",04.10.2023
На удаленную работу в Тинькофф Банк требуется оператор call-центра,35 000₽,https://www.farpost.ru/sovetskaya-gavan/rabota/vacansii/na-udalennuju-rabotu-v-tinkoff-bank-trebuetsja-operator-call-centra-113592273.html?source=extended-feed,в Советской Гавани,"ООО ""ЭЙЧ АР ПРОФИ""",04.10.2023
На удаленную работу в Тинькофф Банк требуется оператор call-центра,35 000₽,https://www.farpost.ru/nakhodka/rabota/vacansii/na-udalennuju-rabotu-v-tinkoff-bank-trebuetsja-operator-call-centra-113592289.html?source=extended-feed,в Находке,"ООО ""ЭЙЧ АР ПРОФИ""",04.10.2023
Повар - пиццер в итальянский ресторан IL Патио.,70 000 – 114 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/povar-piccer-v-italjanskij-restoran-il-patio-110995768.html?source=extended-feed,во Владивостоке,"ООО ""Фортуна"". Улица Калинина 8",04.10.2023
"Су-шеф в ресторан восточной кухни ""Хлопок""",63 000 – 90 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/su-shef-v-restoran-vostochnoj-kuhni-hlopok-102721118.html?source=extended-feed,во Владивостоке,"ООО ""Общепит Калина"". Улица Калинина 8",04.10.2023
Кассир/повар в сеть ресторанов KFC,до 50 000₽,https://www.farpost.ru/ussuriisk/rabota/vacansii/kassir-povar-v-set-restoranov-kfc-109757085.html?source=extended-feed,в Уссурийске,ООО ГудФуд ДВ. Улица Дзержинского 93б,04.10.2023
Бармен-бариста в итальянский ресторан IL Патио,от 45 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/barmen-barista-v-italjanskij-restoran-il-patio-102783420.html?source=extended-feed,во Владивостоке,"ООО ""Фортуна"". Калинина",04.10.2023
Кассир/повар в сеть ресторанов KFC,до 50 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/kassir-povar-v-set-restoranov-kfc-111960162.html?source=extended-feed,во Владивостоке,ООО ГудФуд ДВ. Улица Сахалинская 41г,04.10.2023
Кассир/повар в ресторан KFC Алеутская 25,,https://www.farpost.ru/vladivostok/rabota/vacansii/kassir-povar-v-restoran-kfc-aleutskaja-25-112096023.html?source=extended-feed,во Владивостоке,ООО ГудФуд ДВ. Улица Алеутская 25,04.10.2023
Офис-менеджер,42 500₽,https://www.farpost.ru/khabarovsk/rabota/vacansii/ofis-menedzher-61641102.html?source=extended-feed,в Хабаровске,"ООО ""Гуд Фуд Ресторантс"". Улица Ким-Ю-Чена 44",04.10.2023
"Официант в восточный ресторан ""Хлопок""",60 000 – 70 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/oficiant-v-vostochnyj-restoran-hlopok-87061970.html?source=extended-feed,во Владивостоке,"ООО ""Общепит Калина"". Улица Калинина 8",04.10.2023
