vacancy,salary,link,city,worker,date
Электрогазосварщик КАС,60 000 — 80 000 ₽,https://russia.superjob.ru/vakansii/elektrogazosvarschik-kas-47141492.html,,,05.10.2023
Электрогазосварщик аргонщик,60 000 — 80 000 ₽,https://russia.superjob.ru/vakansii/elektrogazosvarschik-argonschik-47140897.html,Казань,Казанский вертолётный завод,05.10.2023
Электрогазосварщик аргонщик,60 000 — 80 000 ₽,https://russia.superjob.ru/vakansii/elektrogazosvarschik-argonschik-47140897.html,,,05.10.2023
Инженер по нормированию труда,38 000 — 45 000 ₽,https://russia.superjob.ru/vakansii/inzhener-po-normirovaniyu-truda-47139665.html,Казань,Казанский вертолётный завод,05.10.2023
Инженер по нормированию труда,38 000 — 45 000 ₽,https://russia.superjob.ru/vakansii/inzhener-po-normirovaniyu-truda-47139665.html,,,05.10.2023
Токарь,60 000 — 90 000 ₽,https://russia.superjob.ru/vakansii/tokar-47086722.html,КазаньСеверный вокзал,Казанский вертолётный завод,05.10.2023
Токарь,60 000 — 90 000 ₽,https://russia.superjob.ru/vakansii/tokar-47086722.html,,,05.10.2023
,,,КазаньСеверный вокзал,Казанский вертолётный завод,05.10.2023
Инженер по планированию производства,38 000 — 45 000 ₽,https://russia.superjob.ru/vakansii/inzhener-po-planirovaniyu-proizvodstva-47139337.html,Казань,Казанский вертолётный завод,05.10.2023
Инженер по планированию производства,38 000 — 45 000 ₽,https://russia.superjob.ru/vakansii/inzhener-po-planirovaniyu-proizvodstva-47139337.html,,,05.10.2023
Экономист по ценообразованию покупных комплектующих изделий (ПКИ),35 000 ₽,https://russia.superjob.ru/vakansii/ekonomist-po-cenoobrazovaniyu-pokupnyh-komplektuyuschih-izdelij-45196806.html,Казань,Казанский вертолётный завод,05.10.2023
Экономист по ценообразованию покупных комплектующих изделий (ПКИ),35 000 ₽,https://russia.superjob.ru/vakansii/ekonomist-po-cenoobrazovaniyu-pokupnyh-komplektuyuschih-izdelij-45196806.html,,,05.10.2023
Консервировщик оборудования и металлоизделий,20 000 — 24 000 ₽,https://russia.superjob.ru/vakansii/konservirovschik-oborudovaniya-i-metalloizdelij-47577179.html,Казань,Казанский Вертолетный Завод,05.10.2023
Консервировщик оборудования и металлоизделий,20 000 — 24 000 ₽,https://russia.superjob.ru/vakansii/konservirovschik-oborudovaniya-i-metalloizdelij-47577179.html,,,05.10.2023
Комплектовщик авиационной техники,21 000 — 27 000 ₽,https://russia.superjob.ru/vakansii/komplektovschik-aviacionnoj-tehniki-47576865.html,Казань,Казанский Вертолетный Завод,05.10.2023
Комплектовщик авиационной техники,21 000 — 27 000 ₽,https://russia.superjob.ru/vakansii/komplektovschik-aviacionnoj-tehniki-47576865.html,,,05.10.2023
Техник по планированию производства ПКМ,30 000 — 35 000 ₽,https://russia.superjob.ru/vakansii/tehnik-po-planirovaniyu-proizvodstva-pkm-47576374.html,Казань,Казанский Вертолетный Завод,05.10.2023
Техник по планированию производства ПКМ,30 000 — 35 000 ₽,https://russia.superjob.ru/vakansii/tehnik-po-planirovaniyu-proizvodstva-pkm-47576374.html,,,05.10.2023
Чистильщик,30 000 — 40 000 ₽,,Казань,Казанский вертолётный завод,05.10.2023
Чистильщик,30 000 — 40 000 ₽,https://russia.superjob.ru/vakansii/chistilschik-47135025.html,Казань,Казанский вертолётный завод,05.10.2023
Чистильщик,30 000 — 40 000 ₽,https://russia.superjob.ru/vakansii/chistilschik-47135025.html,,,05.10.2023
Монтажник электрооборудования летательных аппаратов,от 35 000 ₽,https://russia.superjob.ru/vakansii/montazhnik-elektrooborudovaniya-letatelnyh-apparatov-47134987.html,Казань,Казанский вертолётный завод,05.10.2023
Монтажник электрооборудования летательных аппаратов,от 35 000 ₽,https://russia.superjob.ru/vakansii/montazhnik-elektrooborudovaniya-letatelnyh-apparatov-47134987.html,,,05.10.2023
Фрезеровщик,от 50 000 ₽,https://russia.superjob.ru/vakansii/frezerovschik-47194749.html,Казань,Казанский Вертолетный Завод,05.10.2023
Фрезеровщик,от 50 000 ₽,https://russia.superjob.ru/vakansii/frezerovschik-47194749.html,,,05.10.2023
Специалист по нематериальным активам и лицензионной работе,от 30 000 ₽,https://russia.superjob.ru/vakansii/specialist-po-nematerialnym-aktivam-i-licenzionnoj-rabote-45408531.html,Казань,Казанский Вертолетный Завод,05.10.2023
Специалист по нематериальным активам и лицензионной работе,от 30 000 ₽,https://russia.superjob.ru/vakansii/specialist-po-nematerialnym-aktivam-i-licenzionnoj-rabote-45408531.html,,,05.10.2023
Слесарь-испытатель,25 000 — 35 000 ₽,https://russia.superjob.ru/vakansii/slesar-ispytatel-45408457.html,Казань,Казанский Вертолетный Завод,05.10.2023
Слесарь-испытатель,25 000 — 35 000 ₽,https://russia.superjob.ru/vakansii/slesar-ispytatel-45408457.html,,,05.10.2023
