Job Title,Salary,Link,City,Scrape Time
Продавец-повар,до 38 000 ₽,https://www.avito.ru/bugulma/vakansii/prodavets-povar_3396139068,"Республика Татарстан, Бугульминский р-н, муниципальное образование Бугульма, Бугульма",28.09.2023
Продавец консультант,до 45 000 ₽,https://www.avito.ru/ekaterinburg/vakansii/prodavets_konsultant_3460551996,"Свердловская область, Екатеринбург",28.09.2023
Кассир - Утренние смены (г. Томск),от 35 800 ₽,https://www.avito.ru/tomsk/vakansii/kassir_-_utrennie_smeny_g._tomsk_3439720165,"Томская область, Томск",28.09.2023
Кладовщик на производство,65 000 ₽,https://www.avito.ru/aprelevka/vakansii/kladovschik_na_proizvodstvo_3249639955,"Москва, Новомосковский административный округ, поселение Марушкинское, пос. станции Крёкшино",28.09.2023
"Сотрудник предприятия ""Вкусно - и точка""",до 45 000 ₽,https://www.avito.ru/kazan/vakansii/sotrudnik_predpriyatiya_vkusno_-_i_tochka_3364574153,"Республика Татарстан, Казань",28.09.2023
Уборщик (ца) в кафе на Арбате,от 1 200 ₽ за смену,https://www.avito.ru/chelyabinsk/vakansii/uborschik_tsa_v_kafe_na_arbate_2915604482,"Челябинская область, Челябинск",28.09.2023
Повар в Гипермаркет,62 000 — 86 000 ₽,https://www.avito.ru/moskva/vakansii/povar_v_gipermarket_3393392944,Москва,28.09.2023
Продавец-кассир,50 000 — 70 000 ₽,https://www.avito.ru/himki/vakansii/prodavets-kassir_2380139783,"Московская область, Химки",28.09.2023
Повар сушист (схи),45 000 — 55 000 ₽,https://www.avito.ru/volgograd/vakansii/povar_sushist_shi_3340775276,"Волгоградская область, Волгоград",28.09.2023
Работа без опыта с обучением,до 45 000 ₽,https://www.avito.ru/tyumen/vakansii/rabota_bez_opyta_s_obucheniem_3427718147,"Тюменская область, Тюмень",28.09.2023
Кассир без опыта,до 45 000 ₽,https://www.avito.ru/ekaterinburg/vakansii/kassir_bez_opyta_3460549703,"Свердловская область, Екатеринбург",28.09.2023
