id,name,description
77629988,Продавец-кассир (п.Матырский),"<p>Русский Аппетит – сеть киосков быстрого питания с 25-летней историей.</p> <p>Компания &quot;Русский аппетит&quot; приглашает в свою команду!</p> <p><strong>Мы предлагаем Вам:</strong></p> <ul> <li>Работа рядом с домом – выбери место работы, ближайшее к твоему дому;</li> <li>Сменный график работы. Преимущественно 7/7 и более удобные для вас варианты 2/2, 3/3, если это необходимо;</li> <li>Оплачиваемая стажировка;</li> <li>Оплата медицинской книжки;</li> <li>Скидки 50% на комплексный обед;</li> <li>Официальное оформление по ТК РФ;</li> <li>Премии и призы по результатам профессиональных конкурсов и производственных соревнований.</li> </ul> <p><strong>Ваши задачи:</strong></p> <ul> <li>Обслуживание покупателей;</li> <li>Работа на кассе;</li> <li>Разогрев и сбор заказа;</li> <li>Прием и выкладка продукции.</li> </ul> <p><strong>Мы ожидаем от нашего кандидата:</strong></p> <p>Желание зарабатывать и развиваться вместе с нашей командой!</p> <p>Приветствуется опыт работы в сетях «Пятерочка», «Магнит», «Перекресток», «Окей», «Лента», «Ашан», «ЦентрТорг», «Линия», «Карусель», «Билла», «Бургер Кинг», «Жар-пицца», «KFC».</p> <p>Работать в Компании «Русский Аппетит» – значит задавать тренды на рынке общественного питания.</p>"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
